Source,Destination,Distance_km,Tolls,Traffic_Level,Road_Quality,Hotel_Cost,Aesthetics,Fuel_Price,Toll_Cost,Weather_Impact,Peak_Hour_Factor,Seasonal_Factor
Delhi,Jaipur,234.9,5,4,4,1500,3,98,283,0.16,1.17,0.88
Delhi,Gwalior,282.4,3,3,5,2000,5,102,188,0.25,1.31,0.86
Delhi,Ajmer,349.1,3,2,3,1000,3,102,143,0.38,1.24,0.96
Delhi,Aligarh,117.2,4,2,4,1500,3,104,267,0.21,1.18,0.91
Delhi,Meerut,63.6,4,2,5,2000,4,102,290,0.27,1.16,0.93
Mumbai,Pune,120.1,3,2,5,2000,5,104,138,0.27,1.4,0.97
Mumbai,Nashik,139.9,3,4,5,1500,4,98,182,0.39,1.34,0.86
Mumbai,Aurangabad,273.6,1,2,5,2000,2,98,280,0.28,1.12,0.93
Jaipur,Gwalior,250.8,5,4,4,2500,5,104,108,0.28,1.11,0.86
Jaipur,Udaipur,331.3,1,2,5,1000,3,102,181,0.21,1.35,0.87
Jaipur,Jodhpur,285.2,2,2,5,1500,3,98,212,0.29,1.27,0.98
Jaipur,Ajmer,125.2,1,4,3,1500,3,100,119,0.23,1.25,0.94
Jaipur,Aligarh,252.3,5,2,5,1000,5,102,135,0.47,1.21,0.86
Jaipur,Meerut,297.3,4,4,4,2500,2,102,172,0.24,1.1,0.99
Ahmedabad,Indore,338.9,3,4,3,1000,4,102,234,0.21,1.28,0.94
Ahmedabad,Udaipur,208.5,1,4,3,2500,3,100,230,0.12,1.24,0.91
Bhopal,Indore,170.3,4,3,3,2000,4,102,172,0.21,1.14,0.97
Bhopal,Nagpur,290.9,2,3,4,1000,5,102,255,0.29,1.33,0.91
Bhopal,Jabalpur,263.6,5,2,5,1000,5,102,203,0.41,1.11,0.9
Bhopal,Gwalior,336.8,4,4,4,1000,3,98,111,0.25,1.35,0.9
Indore,Aurangabad,319.3,2,2,3,2000,4,102,110,0.33,1.22,0.9
Indore,Udaipur,301.0,2,3,5,1000,2,100,235,0.29,1.24,0.92
Lucknow,Kanpur,75.3,4,4,3,2000,5,102,252,0.11,1.24,0.89
Lucknow,Varanasi,264.3,4,4,5,2500,3,98,207,0.27,1.26,0.95
Lucknow,Gwalior,284.1,1,2,4,2000,3,100,177,0.28,1.14,0.92
Lucknow,Aligarh,305.8,4,4,5,2000,2,104,288,0.47,1.37,0.89
Kanpur,Varanasi,293.0,2,4,4,2000,5,98,291,0.42,1.23,0.9
Kanpur,Gwalior,216.1,2,2,4,1500,4,98,137,0.43,1.15,0.95
Kanpur,Aligarh,274.2,4,4,5,2000,4,102,244,0.46,1.31,0.86
Varanasi,Patna,219.8,2,2,4,2500,3,98,208,0.12,1.34,0.95
Varanasi,Ranchi,322.4,5,2,3,1500,2,100,111,0.11,1.35,0.94
Patna,Ranchi,249.8,1,3,4,2500,2,98,193,0.19,1.38,0.85
Patna,Dhanbad,238.3,3,2,3,2500,3,98,247,0.5,1.22,1.0
Patna,Asansol,281.1,2,4,3,1500,5,102,113,0.33,1.32,0.97
Patna,Siliguri,349.0,5,4,3,1500,2,102,202,0.2,1.36,1.0
Kolkata,Ranchi,324.7,1,2,5,2500,4,104,267,0.46,1.31,0.9
Kolkata,Dhanbad,239.9,2,2,3,2000,4,102,292,0.23,1.35,0.94
Kolkata,Asansol,189.1,5,4,3,2500,2,102,192,0.34,1.38,0.91
Kolkata,Agartala,330.1,3,3,3,1500,2,100,156,0.27,1.35,0.95
Guwahati,Siliguri,339.4,1,3,4,2500,4,102,294,0.15,1.3,0.85
Guwahati,Itanagar,213.3,1,3,3,1500,5,104,196,0.14,1.27,0.85
Guwahati,Aizawl,285.5,4,4,3,1000,2,102,194,0.44,1.28,0.99
Guwahati,Imphal,265.7,1,4,3,1000,5,100,211,0.41,1.32,0.98
Guwahati,Shillong,64.6,5,3,5,1500,4,102,235,0.13,1.25,1.0
Guwahati,Agartala,260.2,1,3,5,1500,5,98,101,0.49,1.29,0.99
Bhubaneswar,Ranchi,341.7,3,4,5,2000,4,102,215,0.36,1.16,1.0
Raipur,Nagpur,264.1,3,4,3,2500,4,100,176,0.49,1.32,0.97
Raipur,Jabalpur,272.7,2,2,3,2000,2,102,126,0.13,1.2,0.88
Nagpur,Jabalpur,243.7,3,2,3,1500,5,104,196,0.19,1.32,0.92
Pune,Nashik,163.7,1,4,4,1000,5,98,169,0.19,1.12,0.96
Pune,Belgaum,303.3,5,4,4,2500,2,104,219,0.11,1.34,0.86
Pune,Panaji,335.3,1,2,4,1000,4,102,149,0.19,1.1,0.86
Pune,Aurangabad,216.7,1,3,3,1000,5,104,216,0.25,1.16,0.9
Nashik,Aurangabad,163.2,5,4,4,1500,2,102,166,0.19,1.21,0.95
Hyderabad,Vijayawada,249.9,2,4,3,1000,4,102,131,0.4,1.36,0.97
Vijayawada,Visakhapatnam,303.2,3,3,5,1000,3,102,143,0.43,1.16,0.88
Chennai,Tiruchirappalli,305.6,4,3,3,2000,4,100,265,0.47,1.32,0.97
Chennai,Bengaluru,290.5,5,4,4,1000,2,98,145,0.39,1.31,0.98
Coimbatore,Madurai,175.5,2,3,4,2500,3,102,222,0.32,1.2,0.88
Coimbatore,Tiruchirappalli,192.8,1,4,5,1000,3,102,211,0.49,1.27,0.99
Coimbatore,Kochi,141.8,2,2,5,2000,4,100,145,0.43,1.23,0.89
Coimbatore,Thiruvananthapuram,275.7,5,3,3,2000,2,104,260,0.34,1.19,0.88
Coimbatore,Bengaluru,227.2,1,2,5,2000,2,102,100,0.42,1.31,0.95
Coimbatore,Mysuru,145.6,1,2,4,2500,4,104,110,0.45,1.3,0.96
Coimbatore,Mangalore,310.4,3,3,3,1500,3,104,160,0.19,1.25,0.88
Madurai,Tiruchirappalli,115.2,5,2,4,2000,2,100,281,0.22,1.4,0.94
Madurai,Kochi,203.2,5,4,4,2000,2,100,135,0.29,1.24,0.93
Madurai,Thiruvananthapuram,202.3,1,2,5,2500,3,100,295,0.21,1.39,0.89
Madurai,Bengaluru,341.8,3,2,5,1000,2,104,109,0.4,1.36,0.89
Madurai,Mysuru,308.1,2,4,3,1000,4,102,186,0.15,1.13,0.86
Tiruchirappalli,Kochi,283.3,4,4,4,2000,4,98,239,0.14,1.2,0.94
Tiruchirappalli,Thiruvananthapuram,317.0,2,3,5,1000,3,100,252,0.25,1.15,0.89
Tiruchirappalli,Bengaluru,269.9,2,3,5,2500,4,100,241,0.32,1.26,0.96
Tiruchirappalli,Mysuru,280.1,2,4,5,2000,2,104,254,0.37,1.17,0.96
Kochi,Thiruvananthapuram,172.1,4,3,4,2000,2,104,141,0.34,1.33,0.98
Kochi,Mysuru,264.7,5,3,5,2500,2,102,204,0.25,1.15,0.93
Bengaluru,Mysuru,127.9,4,2,5,1000,2,100,208,0.34,1.36,0.94
Bengaluru,Mangalore,297.2,3,4,3,2500,4,98,133,0.19,1.1,0.93
Mysuru,Mangalore,205.5,2,4,3,1500,3,102,197,0.5,1.34,0.87
Mangalore,Hubli,272.7,1,2,4,1500,5,98,190,0.33,1.26,0.86
Mangalore,Belgaum,327.1,5,4,3,1500,2,102,250,0.16,1.23,0.98
Mangalore,Panaji,305.9,3,4,5,2000,5,102,207,0.29,1.33,0.93
Hubli,Belgaum,86.0,3,3,4,1000,4,102,285,0.49,1.18,0.89
Hubli,Panaji,139.8,1,4,4,2500,2,104,229,0.15,1.32,0.95
Belgaum,Panaji,82.1,5,4,4,2500,5,100,133,0.22,1.4,0.86
