1738578600690: GET
1738578712784: GET
1738578731787: GET
1738578773507: GET
1738578818835: /api/users/100
1738579142231: GET /api/users
1738579158144: POST /api/users
1738579179131: GET /api/users/1002
1738579188705: DELETE /api/users/1002
1738579540075: GET /api/users
1738579685001: GET /api/users
1738580606527: POST /api/users/
1738580663251: POST /api/users/
1738580859174: POST /api/users/
1738580865213: POST /api/users/
1738580869490: POST /api/users/
1738582466286: POST /api/users/
1738582551452: POST /api/users/
1738611147804: GET /favicon.ico
1738611148717: GET /users
1738611353750: POST /api/users/
1738611367557: GET /users
1738611509233: GET /api/users
1738611547966: GET /api/users
1738611610687: GET /api/users
1738611759946: GET /api/users
1738612185756: DELETE /api/users/67a0a9c22b7ea5844ac90360
1738612191254: GET /api/users
1738612197949: GET /users
1738614521471: GET /api/users
1738616487953: GET /api/users
1738616497375: POST /api/users/
1738616514674: POST /api/users/
